2026-05-18 02:23:18.510 | 2026-05-18 02:23:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:23:18.517 | 2026-05-18 02:23:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:23:19.037 | 2026-05-18 02:23:19 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 22ms
2026-05-18 02:23:19.061 | 2026-05-18 02:23:19 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 19ms
2026-05-18 02:23:27.620 | 2026-05-18 02:23:27 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:23:28.101 | 2026-05-18 02:23:28 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 25ms
2026-05-18 02:24:32.836 | 2026-05-18 02:24:32 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:24:32.976 | 2026-05-18 02:24:32 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 43ms
2026-05-18 02:24:46.802 | 2026-05-18 02:24:46 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:24:46.811 | 2026-05-18 02:24:46 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:24:47.034 | 2026-05-18 02:24:47 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 22ms
2026-05-18 02:24:47.059 | 2026-05-18 02:24:47 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 19ms
2026-05-18 02:25:04.073 | 2026-05-18 02:25:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:25:04.080 | 2026-05-18 02:25:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:25:05.035 | 2026-05-18 02:25:05 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 28ms
2026-05-18 02:25:05.084 | 2026-05-18 02:25:05 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 42ms
2026-05-18 02:26:21.908 | 2026-05-18 02:26:21 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:26:21.956 | 2026-05-18 02:26:21 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 20ms
2026-05-18 02:26:38.575 | 2026-05-18 02:26:38 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:26:38.950 | 2026-05-18 02:26:38 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 25ms
2026-05-18 02:28:45.328 | 2026-05-18 02:28:45 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
